Business Unit,Description,L D,Co,BU Ty,Subledger Inactive,M C,Sector,Sub-Segment,Province,District,WCB Rates,Promo Expense,Category Code 07,Closed Business,IMS Fee,Admin Fee,Summary Reporting,Statement Formats,Regional VP,Fringe Calc,JV Units,Mgmt Fee,Bank Charges,Regional Director,Smallwares R&M,President,Multi Group,Group,Contract Terms,Cat Code 24,Fringe Caps,IFRS15,Commissions,COVID-19 Status,DM Assistants,Census Metro Area CMA,Online Reporting Access 1,Online Reporting Access 2,Online Reporting Access 3,Insurance,BE - Digital Hospitality,Finance Charge Exceptions,Business Line,BE - Like for Like,Rebate passed to Client,Acquisitions,Key Client Account,MAP1 Royalty Brands,Special Services,BE Online Reporting Access 4,US Data - Office Type,US Data - Compass Sector,BE - Top Retail Accounts,Concur BU,HFM Reporting,CAT 50,P E,Tax Rate Area,Address Number,Address Number1,Address Number2,Address Number3,Address Number4,Address Number5,Address Number6,Related BU,Related BU Description,Adj Entry,Adjustment Entry Description,Project Number,Project Description
"       81102",Meduxnekeag Consolidatd Sch-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81160,PL," "," ",02," ",RV,162,89," ",17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",635913,,,,,,,"       81102",Meduxnekeag Consolidatd Sch-PL,0,Not Restricted,"            ",
"       81103",Woodstock High-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81110,PL," "," ",02," "," "," ",93," "," "," "," "," "," "," "," "," "," "," ",01," "," "," "," "," ",1,HS," ",N," ",10852,,,,,,,"       81103",Woodstock High-PL,0,Not Restricted,"            ",
"       81104",Carrefour Etudiant -TM,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81104",Carrefour Etudiant -TM,0,Not Restricted,"            ",
"       81105",Oromocto Sr High-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," ",A12,37," "," "," "," ",171," ",02," ",81160,PL," "," ",02," ",RV,162,89," ",17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",10854,,,,,,,"       81105",Oromocto Sr High-PL,0,Not Restricted,"            ",
"       81106",Francois Xavierdgle-TM,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",10855,,,,,,,"       81106",Francois Xavierdgle-TM,0,Not Restricted,"            ",
"       81107",Townsview School - PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81160,PL," "," ",02," ",RV,162,93," ",17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",635911,,,,,,,"       81107",Townsview School - PL,0,Not Restricted,"            ",
"       81108",Kennebecassis Valley-TM,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81108",Kennebecassis Valley-TM,0,Not Restricted,"            ",
"       81109",Hampton High School-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81260,PL," "," ",02," ",LC,053,52,171,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",174154,,,,,,,"       81109",Hampton High School-PL,0,Not Restricted,"            ",
"       81110",Anglophone North Sch Dist -PL,9,00100,HS," "," ",02,01,NB,110,NB," "," "," "," "," "," "," ",37," "," "," "," ",171," ",02," ",81110,GP," "," ",02," ",NI,052,89," ",17," "," "," "," "," ",B," "," "," ",01," "," "," "," "," ",1,HS," "," "," ",55935,,,,,,,"       81110",Anglophone North Sch Dist -PL,0,Not Restricted,"            ",
"       81111",Salem Elementary Sch,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81120,PL," "," ",02," ",RV,052,89,183,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," "," ",HS," "," "," ",10841,,,,,,,"       81111",Salem Elementary Sch,0,Not Restricted,"            ",
"       81112",Sunny Brae Middle School-TM,9,00100,HS," "," ",02,01,NB,110,NB," "," ",CL," "," "," "," ",37," "," "," "," ",171," ",02," ",81120,PL," "," ",02," ",LC,263,51," ",17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," "," ",HS," "," "," ",81578,,,,,,,"       81112",Sunny Brae Middle School-TM,0,Not Restricted,"            ",
"       81113",Marshview Middle Sch.-TM,9,00100,HS," "," ",02,01,NB,110,NB," "," ",CL," "," "," "," ",37," "," "," "," ",171," ",02," ",81120,PL," "," ",02," ",LC,263,89," ",17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," "," ",HS," "," "," ",10842,,,,,,,"       81113",Marshview Middle Sch.-TM,0,Not Restricted,"            ",
"       81114",Tantramar HS-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81120,PL," "," ",02," ",RV,052,89,183,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," "," ",HS," "," "," ",10843,,,,,,,"       81114",Tantramar HS-PL,0,Not Restricted,"            ",
"       81115",Fundy Regional High-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," ",C11,37," "," "," "," ",171," ",02," ",81260,PL," "," ",02," ",RV,053,89,171,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",10857,,,,,,,"       81115",Fundy Regional High-PL,0,Not Restricted,"            ",
"       81116",Sussex Regional-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81260,PL," "," ",02," ",RV,053,89,171,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",10844,,,,,,,"       81116",Sussex Regional-PL,0,Not Restricted,"            ",
"       81117",Evergreen Park School - PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81120,PL," "," ",02," ",RV,052,51,183,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",93946,,,,,,,"       81117",Evergreen Park School - PL,0,Not Restricted,"            ",
"       81118",Hartland Community -PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81160,PL," "," ",02," ",RV,162,89," ",17,56," "," "," "," ",B," "," "," ",01," "," "," "," "," ",1,HS," "," "," ",42032,,,,,,,"       81118",Hartland Community -PL,0,Not Restricted,"            ",
"       81119",St Stephen Regional-TM,9,00100,HS," "," ",02,01,NB,110,NB,PRR," ",CL,CH," "," ",C11,37," "," "," "," ",171," ",02," ",81260,PL," "," ",02," ",LC,038,89,171,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",10859,,,,,,,"       81119",St Stephen Regional-TM,0,Not Restricted,"            ",
"       81120",Anglophone East School Dist-PL,9,00100,HS," "," ",02,01,NB,110,NB," "," "," "," "," "," "," ",37," "," "," "," ",171," ",02," ",81120,GP," "," "," "," ",NI,052,51," ",17," "," "," "," "," ",B," "," "," ",01," "," "," "," "," ",1,HS," "," "," ",54194,,,,,,,"       81120",Anglophone East School Dist-PL,0,Not Restricted,"            ",
"       81121",Northrup Frye School-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81120,PL," "," ",02," ",RV,052,51,183,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",520171,,,,,,,"       81121",Northrup Frye School-PL,0,Not Restricted,"            ",
"       81122",Sugarloaf Sr High - TERM,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81122",Sugarloaf Sr High - TERM,0,Not Restricted,"            ",
"       81123",L'Ecole Versant Nord-TM,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81123",L'Ecole Versant Nord-TM,0,Not Restricted,"            ",
"       81124",River Valley Middle School- TM,9,00100,HS," "," ",02,01,NB,110,NB,PRR," ",CL,CH," "," ",C11,37," "," "," "," ",171," ",02," ",81260,PL," "," ",02," ",LC,038,89,171," "," "," "," "," "," ",B," "," "," ",01," "," "," "," "," ",1,HS," "," "," ",782692,,,,,,,"       81124",River Valley Middle School- TM,0,Not Restricted,"            ",
"       81125",Domaine de L'Etudia-TM,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81125",Domaine de L'Etudia-TM,0,Not Restricted,"            ",
"       81126",Ecole de Robertville-Term,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81126",Ecole de Robertville-Term,0,Not Restricted,"            ",
"       81127",Ecole Sejour De Jeunesse-TM,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81127",Ecole Sejour De Jeunesse-TM,0,Not Restricted,"            ",
"       81128",Parkwood Heights - TM,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81128",Parkwood Heights - TM,0,Not Restricted,"            ",
"       81130",Operations Mgr -Darlene Erb TM,9,00350,HS," "," ",02,01,NB,110,NB," "," ",CL," "," "," "," ",37," "," "," "," ",171," ",02," "," ",GP," "," "," "," ",NI,038,03," ",17," "," "," "," "," ",L," "," "," ",01," "," "," "," "," ",1,HS," "," "," ",461814,,,,,,,"       81130",Operations Mgr -Darlene Erb TM,0,Not Restricted,"            ",
"       81131",Dr Losier Middle Sch-Term,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81131",Dr Losier Middle Sch-Term,0,Not Restricted,"            ",
"       81132",Havelock School - TM,9,00100,HS," "," ",02,01,NB,110,NB,PRR," ",CL,CH," "," ",A11,37," "," "," "," ",171," ",02," ",81120,PL," "," ",02," ",LC,263,89," ",17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," "," ",HS," "," "," ",272766,,,,,,,"       81132",Havelock School - TM,0,Not Restricted,"            ",
"       81133",Maplehurst Middle School-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," ",A11,37," "," "," "," ",171," ",02," ",81120,PL," "," ",02," ",RV,052,51,183," "," "," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",785326,,,,,,,"       81133",Maplehurst Middle School-PL,0,Not Restricted,"            ",
"       81135",Royal Road Elem-TM,9,00100,HS," "," ",02,01,NB,110,NB," "," ",CL," "," "," "," ",37," "," "," "," ",171," ",02," ",81160,PL," "," ",02," ",NI,162,89," ",17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," "," ",HS," "," "," ",10863,,,,,,,"       81135",Royal Road Elem-TM,0,Not Restricted,"            ",
"       81136",Petitcodiac HS-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81120,PL," "," ",02," ",RV,052,89,183,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",10845,,,,,,,"       81136",Petitcodiac HS-PL,0,Not Restricted,"            ",
"       81137",NBCC Moncton-TM,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," ",A09," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",51," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",119469,,,,,,,"       81137",NBCC Moncton-TM,0,Not Restricted,"            ",
"       81138",Harry Miller Jr HS-TERM,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81138",Harry Miller Jr HS-TERM,0,Not Restricted,"            ",
"       81139",St Stephen Middle Sch-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81260,PL," "," ",02," ",LC,053,89,171,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",10865,,,,,,,"       81139",St Stephen Middle Sch-PL,0,Not Restricted,"            ",
"       81140"," School District #6-GP TM",9,00100,TM," "," ",01,01,NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",52," "," "," "," "," "," "," "," "," "," "," ",01," "," "," "," "," "," ",TM," ",N," ",55937,,,,,,,"       81140"," School District #6-GP TM",0,Not Restricted,"            ",
"       81141",Blackville Rural HS-TM,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81141",Blackville Rural HS-TM,0,Not Restricted,"            ",
"       81142",Miramichi Valley - PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81110,PL," "," ",02," ",RV,052,89,183,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",10867,,,,,,,"       81142",Miramichi Valley - PL,0,Not Restricted,"            ",
"       81143",Millerton Jr High-PL-TM,9,00100,TM," "," ",02,01,NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," ",PL," "," "," "," "," "," ",89," "," "," "," "," "," "," ",L," "," "," ",01," ",01," "," "," "," ",TM," ",N," ",10868,,,,,,,"       81143",Millerton Jr High-PL-TM,0,Not Restricted,"            ",
"       81144",Harkins Elem/Jr HS-Term,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81144",Harkins Elem/Jr HS-Term,0,Not Restricted,"            ",
"       81145",Complexe Scolaire de Monctn-TM,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",51," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",169767,,,,,,,"       81145",Complexe Scolaire de Monctn-TM,0,Not Restricted,"            ",
"       81146",Hampton Middle School-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81260,PL," "," ",02," ",LC,053,52,171,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",180447,,,,,,,"       81146",Hampton Middle School-PL,0,Not Restricted,"            ",
"       81147",Harry Miller Middle School-TM,9,00100,HS," "," ",02,01,NB,110,NB,PRR," ",CL,CH," "," "," ",37," "," "," "," ",171," ",02," ",81260,PL," "," ",02," ",LC,038,52,171,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",180445,,,,,,,"       81147",Harry Miller Middle School-TM,0,Not Restricted,"            ",
"       81148",Kennebecasis Valley HS-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81260,PL," "," ",02," ",RV,053,52,171,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",180442,,,,,,,"       81148",Kennebecasis Valley HS-PL,0,Not Restricted,"            ",
"       81149",MacDonald Consolidated Schl-TM,9,00100,TM," "," ",01,01,NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," ",PL," "," "," "," "," "," ",52," "," "," "," "," "," "," ",L," "," "," ",01," "," "," "," "," "," ",TM," ",N," ",180436,,,,,,,"       81149",MacDonald Consolidated Schl-TM,0,Not Restricted,"            ",
"       81150",Anglophone W SD -PL,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",89," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",55939,,,,,,,"       81150",Anglophone W SD -PL,0,Not Restricted,"            ",
"       81151",Rothesay High School-PL-TM,9,00100,TM," "," ",02,01,NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," ",PL," "," "," "," "," "," ",52," "," "," "," "," "," "," ",L," "," "," ",01," ",01," "," "," "," ",TM," ",N," ",180427,,,,,,,"       81151",Rothesay High School-PL-TM,0,Not Restricted,"            ",
"       81152",Rothesay Park School-TM,9,00100,HS," "," ",02,01,NB,110,NB," "," ",CL," "," "," "," ",37," "," "," "," ",171," ",02," ",81260,PL," "," ",02," ",NI,038,52," ",17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," "," ",HS," "," "," ",180422,,,,,,,"       81152",Rothesay Park School-TM,0,Not Restricted,"            ",
"       81153",North & South Esk-Term,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81153",North & South Esk-Term,0,Not Restricted,"            ",
"       81154",Gretna Green Elem-Term,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81154",Gretna Green Elem-Term,0,Not Restricted,"            ",
"       81155",Croft Elementry School - TM,9,00100,TM," "," ",02,01,NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," ",PL," "," "," "," "," "," ",89," "," "," "," "," "," "," ",L," "," "," ",01," ",01," "," "," "," ",TM," ",N," ",103894,,,,,,,"       81155",Croft Elementry School - TM,0,Not Restricted,"            ",
"       81156",Grand Manan HS-TM,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," ",N/A," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",10869,,,,,,,"       81156",Grand Manan HS-TM,0,Not Restricted,"            ",
"       81157",Dr. Losier Middle School - PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81110,PL," "," ",02," ",RV,052,89,183,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",144560,,,,,,,"       81157",Dr. Losier Middle School - PL,0,Not Restricted,"            ",
"       81158",Quispamsis Jr HS -PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81260,PL," "," ",02," ",RV,053,52,171,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",10870,,,,,,,"       81158",Quispamsis Jr HS -PL,0,Not Restricted,"            ",
"       81159",Ecole St Sauveur-Term,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81159",Ecole St Sauveur-Term,0,Not Restricted,"            ",
"       81160",Anglophone W Sch Dist Offic-PL,9,00100,HS," "," ",02,01,NB,110,NB," "," "," "," "," "," "," ",37," "," "," "," ",171," ",02," ",81160,GP," "," ",02," ",NI,162,93," ",17," "," "," "," "," ",B," "," "," ",01," "," "," "," "," ",1,HS," "," "," ",55936,,,,,,,"       81160",Anglophone W Sch Dist Offic-PL,0,Not Restricted,"            ",
"       81161",Keswick Valley Mem-TM,9,00100,TM," "," ",02,01,NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," ",PL," "," "," "," "," "," ",89," "," "," "," "," "," "," ",B," "," "," ",01," ",01," "," "," "," ",TM," ",N," ",10871,,,,,,,"       81161",Keswick Valley Mem-TM,0,Not Restricted,"            ",
"       81162",Academie-Assomption-Term,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81162",Academie-Assomption-Term,0,Not Restricted,"            ",
"       81163",Belleisle Reg HS-TM,9,00100,HS," "," ",02,01,NB,110,NB," "," ",CL," "," "," "," ",37," "," "," "," ",171," ",02," ",81260,PL," "," ",02," ",LC,038,89," ",17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," "," ",HS," "," "," ",10872,,,,,,,"       81163",Belleisle Reg HS-TM,0,Not Restricted,"            ",
"       81164",Sussex Elementary School-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81260,PL," "," ",02," ",RV,053,89,171,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",180418,,,,,,,"       81164",Sussex Elementary School-PL,0,Not Restricted,"            ",
"       81165",Southern Victoria-Term,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81165",Southern Victoria-Term,0,Not Restricted,"            ",
"       81166",Bath Elementary Sch  - TM,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",235961,,,,,,,"       81166",Bath Elementary Sch  - TM,0,Not Restricted,"            ",
"       81167",Florenceville Elem Sch - TM,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," ",89," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",234237,,,,,,,"       81167",Florenceville Elem Sch - TM,0,Not Restricted,"            ",
"       81168",Chris Saunders Memoral Elem-TM,9,00100,HS," "," ",02,01,NB,110,NB,PRR," ",CL,CH," "," ",C11,37," "," "," "," ",171," ",02," ",81260,PL," "," ",02," ",LC,038,89,171,17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",658694,,,,,,,"       81168",Chris Saunders Memoral Elem-TM,0,Not Restricted,"            ",
"       81169",Nackawic Elementary-TM,9,00100,TM," "," ",02,01,NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," ",PL," "," "," "," "," "," ",89," "," "," "," "," "," "," ",B," "," "," ",01," "," "," "," "," "," ",TM," ",N," ",10873,,,,,,,"       81169",Nackawic Elementary-TM,0,Not Restricted,"            ",
"       81171",Fredericton High -PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," ",H00,37," "," "," "," ",171," ",02," ",81160,PL," "," ",02," ",RV,162,89," ",17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",10874,,,,,,,"       81171",Fredericton High -PL,0,Not Restricted,"            ",
"       81172",George St Middle Sch-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81160,PL," "," ",02," ",RV,162,89," ",17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",10875,,,,,,,"       81172",George St Middle Sch-PL,0,Not Restricted,"            ",
"       81173",Nashwaaksis Middle-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81160,PL," "," ",02," ",RV,162,89," ",17,56," "," "," "," ",B," "," "," ",01," ",01," "," "," ",1,HS," "," "," ",10876,,,,,,,"       81173",Nashwaaksis Middle-PL,0,Not Restricted,"            ",
"       81174",Harvey High School-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81110,PL," "," ",02," "," "," ",89," "," "," "," "," "," "," "," "," "," "," ",01," "," "," "," "," ",1,HS," ",N," ",10877,,,,,,,"       81174",Harvey High School-PL,0,Not Restricted,"            ",
"       81175",McAdam High School-TM,9,00100,TM," "," ",02,01,NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," ",PL," "," "," "," "," "," ",89," "," "," "," "," "," "," "," "," "," "," ",01," "," "," "," "," "," ",TM," ",N," ",10878,,,,,,,"       81175",McAdam High School-TM,0,Not Restricted,"            ",
"       81176",New Maryland Elementary Sch PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," "," "," "," "," ",37," "," "," "," ",171," ",02," ",81160,PL," "," ",02," "," ",162,89," ",17,56," "," "," "," ",B," "," "," ",01," "," "," "," "," "," ",HS," "," "," ",81547,,,,,,81597,"       81176",New Maryland Elementary Sch PL,0,Not Restricted,"       81176",New Maryland Elementary Sch PL
"       81177",Bliss Carman Middle School-PL,9,00100,HS," "," ",02,01,NB,110,NB,PRR," "," ",CH," "," "," ",37," "," "," "," ",171," ",02," ",81160,PL," "," ",02," ",RV,162,89," ",17,56," "," "," "," ",B," "," "," ",01," "," "," "," "," ",1,HS," "," "," ",464130,,,,,,,"       81177",Bliss Carman Middle School-PL,0,Not Restricted,"            ",
"       81179",Vanier Intermediar-Term,9,00100,TM," "," ",01," ",NB,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       81179",Vanier Intermediar-Term,0,Not Restricted,"            ",
